"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X10560.1",146,-0.865488664103444,1.60751364257399,TRUE,6477,"ITM2C","Integral membrane protein 2C:N-term","ITM2C:N-term","Q9NQX7"
"X13534.20",132,-0.865528721716623,1.58159020551052,TRUE,6478,"MYOM2","Myomesin-2","MYOM2","P54296"
"X10583.1",145,-0.86558747167999,1.63678710564199,TRUE,6479,"TMEM108","Transmembrane protein 108","TM108","Q6UXF1"
"X7943.16",145,-0.865993220926159,1.56572564449131,TRUE,6480,"CUZD1","CUB and zona pellucida-like domain-containing protein 1","CUZD1","Q86UP6"
"X14128.121",146,-0.866313934340883,1.42522641368436,TRUE,6481,"IFNA10","Interferon alpha-10","IFN10","P01566"
"X16763.11",144,-0.866356640869144,1.60830364637506,TRUE,6482,"LECT2","Leukocyte cell-derived chemotaxin-2","LECT2","O14960"
"X12604.16",146,-0.866815266728112,1.5853644154235,TRUE,6483,"SCMH1","Polycomb protein SCMH1","SCMH1","Q96GD3"
"X16055.3",145,-0.866831747481468,1.57060681446904,TRUE,6484,"CFHR5","Complement factor H-related protein 5","complement factor H-related 5","Q9BXR6"
"X11120.49",146,-0.86705436371279,1.64624061958834,TRUE,6485,"NAT14","N-acetyltransferase 14","NAT14","Q8WUY8"
"X7221.56",146,-0.867081358533641,1.55498236341012,TRUE,6486,"CKAP4","Cytoskeleton-associated protein 4","CKAP4","Q07065"
"X6168.11",145,-0.86715456052154,1.52997909626652,TRUE,6487,"TP53","Cellular tumor antigen p53 R175H mutant","p53 R175H","P04637"
"X9457.3",142,-0.867478439468086,1.57323596624735,TRUE,6488,"CAV2","Caveolin-2","CAV2","P51636"
"X14597.5",146,-0.867559552502998,1.62322159211824,TRUE,6489,"SEMA6C","Semaphorin-6C, cytoplasmic","SEM6C","Q9H3T2"
"X10479.18",143,-0.867666191940045,1.55524032270109,TRUE,6490,"MMP10","Stromelysin-2","MMP-10","P09238"
"X7881.244",145,-0.867670013562111,1.58515582807542,TRUE,6491,"PARP16","Mono [ADP-ribose] polymerase PARP16","PAR16","Q8N5Y8"
