"protein_id","rank_EMCI","loess_corr_EMCI","rank_LMCI","loess_corr_LMCI","rank_AD","loess_corr_AD"
"X24416.20",5821,-0.693262542093749,2484,0.236490056264919,2135,0.365830883851834
"X22383.21",5822,-0.693367008332719,838,0.640393439008883,6227,-0.784963742309232
"X21726.73",5823,-0.693680407049628,358,0.776540729400059,918,0.693594523682705
"X17199.43",5824,-0.693899876712567,1413,0.488000419886893,4295,-0.284885732310385
"X7770.25",5825,-0.693982638473596,167,0.829986021138051,4537,-0.356410726035667
"X20568.3",5826,-0.694261969950563,2627,0.211033119830563,4587,-0.368696393603723
"X20538.71",5827,-0.694350219993609,3156,0.105007084074398,5235,-0.535131154116773
"X15506.34",5828,-0.694534572180026,346,0.778993401694503,2005,0.406133620952807
"X16918.198",5829,-0.6946445713926,2652,0.204958259142996,5369,-0.569669712448361
"X12818.159",5830,-0.694920588957364,5844,-0.449017191762756,1184,0.621471267088832
"X4145.58",5831,-0.694970948714882,6348,-0.607109664531505,3544,-0.0474019807353141
"X25053.1",5832,-0.695505493695155,3687,-0.00351318311358264,2684,0.206787206787207
"X17785.11",5833,-0.696070840400167,4286,-0.121125761157538,161,0.890434199364779
"X13416.8",5834,-0.696193741857778,625,0.696024662726365,2087,0.376218482264596
"X5651.50",5835,-0.69709960184442,5208,-0.289442325565252,4142,-0.237971237497781
"X17813.21",5836,-0.697312145122041,4506,-0.153931920208909,5870,-0.711989037973653
"X5688.65",5837,-0.697754590369442,379,0.770092823619697,2206,0.346116667653035
"X15395.15",5838,-0.698117149669395,4200,-0.106864782942358,5364,-0.568746588809322
"X12453.161",5839,-0.698442838532065,6900,-0.831278676778871,5331,-0.560159276067211
"X11615.16",5840,-0.698585254006082,6266,-0.582172811608695,2842,0.159448694885238
"X24963.1",5841,-0.698630402043271,520,0.726813021988729,4037,-0.211339290998402
"X19278.19",5842,-0.698688641447288,1705,0.412275871493627,1010,0.666944789271251
"X3486.58",5843,-0.698818897637795,3724,-0.0121125237142784,6428,-0.815455033366751
"X19637.9",5844,-0.698982224400815,3338,0.0656706863240381,2579,0.237234749100761
"X9319.59",5845,-0.698999729316303,5874,-0.458428142887512,3950,-0.182672283386584
"X11352.42",5846,-0.699168506351871,6111,-0.535917620082115,4477,-0.340790278353159
"X11328.9",5847,-0.699327729026866,1490,0.467990457369163,3405,-0.00780546185055861
"X16863.47",5848,-0.699376889609911,3936,-0.0546105225811676,175,0.887212062627817
"X16746.12",5849,-0.700120443428459,2256,0.282763035606169,957,0.680114155701538
"X21149.27",5850,-0.700212619521668,1649,0.429557864237433,6317,-0.797531448712132
"X19260.4",5851,-0.700255635031832,2531,0.228189451887078,3053,0.103441258470868
"X25055.56",5852,-0.700510522041836,5973,-0.492530027517843,2306,0.315973249689294
"X8780.2",5853,-0.700649953574745,1614,0.437056254219706,187,0.885081506907867
"X17675.17",5854,-0.70067349998771,1674,0.422226508907886,2807,0.168133168133168
"X22099.1",5855,-0.701274787078632,342,0.780837389518362,3046,0.104706292372742
"X4137.57",5856,-0.701404763660497,2720,0.191044676231662,6726,-0.880281180748719
"X13697.51",5857,-0.701638542430912,2970,0.143367829607695,2132,0.366233202412205
"X2831.29",5858,-0.701837857361154,1809,0.38409351156787,4133,-0.236453716553999
"X14031.18",5859,-0.702078720380713,5795,-0.436679555301892,1444,0.55087498250035
"X17397.8",5860,-0.70222369104386,4068,-0.082982079295358,4527,-0.353678825301007
"X3379.29",5861,-0.702768969839982,3231,0.090208978477415,1850,0.445991445991446
"X5734.13",5862,-0.702928725430024,4693,-0.186920560434932,5200,-0.526889160222494
"X8858.21",5863,-0.702990192463683,1604,0.438851754643344,2071,0.382228643914881
"X25414.11",5864,-0.703703020917828,6764,-0.764553258555069,1860,0.443157844753319
"X12954.71",5865,-0.703880971204319,6223,-0.568737141826369,1611,0.504078963531393
"X14703.6",5866,-0.704299092987243,6072,-0.523334114122508,2218,0.342486831982009
"X10088.37",5867,-0.704957571856845,2062,0.32941757720463,3791,-0.131226385016653
"X19365.11",5868,-0.705113073037156,3386,0.0565502932794465,2122,0.367856226943639
