"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X6647.55",493,0.240804411671034,0.240804411671034,1.0198780118434,TRUE,0.75,2904,"UBC","PolyUbiquitin K63-linked","PolyUbiquitin K63","P0CG48"
"X12604.16",491,0.240653633561181,0.240653633561181,0.96184870672703,TRUE,0.75,2905,"SCMH1","Polycomb protein SCMH1","SCMH1","Q96GD3"
"X9895.77",487,0.24047578650368,0.24047578650368,1.11412183105986,TRUE,0.75,2906,"ERCC4","DNA repair endonuclease XPF","XPF","Q92889"
"X8328.9",492,0.240435475210111,0.240435475210111,0.939578841673088,TRUE,0.75,2907,"ETNK1","Ethanolamine kinase 1","EKI1","Q9HBU6"
"X4137.57",494,0.239428032177047,0.239428032177047,0.82176446937817,TRUE,0.75,2908,"IL25","Interleukin-25","IL-17E","Q9H293"
"X10396.6",484,0.239377821107983,0.239377821107983,0.891653941801404,TRUE,0.75,2909,"MCL1","Induced myeloid leukemia cell differentiation protein Mcl-1","Mcl-1","Q07820"
"X11325.8",488,0.239314857186876,0.239314857186876,1.0732983990126,TRUE,0.75,2910,"BTG2","Protein BTG2","BTG2","P78543"
"X5104.57",489,0.239037975998252,0.239037975998252,0.913445153745854,TRUE,0.75,2911,"NCR1","Natural cytotoxicity triggering receptor 1","NKp46","O76036"
"X20570.18",482,0.238910250303096,0.238910250303096,0.96774881682133,TRUE,0.75,2912,"VSTM1","V-set and transmembrane domain-containing protein 1","VSTM1","Q6UX27"
"X13464.8",493,0.238683032365441,0.238683032365441,1.04224214331853,TRUE,0.75,2913,"NRAC","Nutritionally-regulated adipose and cardiac enriched protein homolog","NRAC","Q8N912"
"X9865.40",492,0.23858473680408,0.23858473680408,1.04885534356051,TRUE,0.75,2914,"UBE2B","Ubiquitin-conjugating enzyme E2 B","UBE2B","P63146"
"X10621.26",491,0.238298029589237,0.238298029589237,0.967765882957985,TRUE,0.75,2915,"PRR16","Protein Largen","PRR16","Q569H4"
"X23389.28",491,0.238246465139649,0.238246465139649,0.975879163754107,TRUE,0.75,2916,"FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2A","FAH2A","Q96GK7"
"X13501.10",471,0.238052988743353,0.238052988743353,0.904063740558228,TRUE,0.75,2917,"SLC35G2","Solute carrier family 35 member G2","S35G2","Q8TBE7"
"X21343.3",484,0.237883438926978,0.237883438926978,0.941876255931603,TRUE,0.75,2918,"ARC","Activity-regulated cytoskeleton-associated protein","ARC","Q7LC44"
"X14615.46",493,0.237476711447289,0.237476711447289,0.996045467258868,TRUE,0.75,2919,"KRTAP2-4","Keratin-associated protein 2-4","KRA24","Q9BYR9"
"X14025.18",491,0.237099852505438,0.237099852505438,0.812855198146364,TRUE,0.75,2920,"TNFRSF9","Tumor necrosis factor receptor superfamily member 9","4-1BB","Q07011"
"X11969.5",488,0.237064820773444,0.237064820773444,0.953272245906406,TRUE,0.75,2921,"S100A2","Protein S100-A2","S100A2","P29034"
"X6411.58",490,0.236312519817294,0.236312519817294,0.957496578333476,TRUE,0.75,2922,"DEFB135","Beta-defensin 135","DB135","Q30KP9"
"X21146.187",493,0.236227897122682,0.236227897122682,0.93307335603224,TRUE,0.75,2923,"TULP1","Tubby-related protein 1","TULP1","O00294"
"X6590.54",495,0.235574441408315,0.235574441408315,0.970264425416874,TRUE,0.75,2924,"NRP2","Neuropilin-2","Neuropilin-2","O60462"
"X13103.125",490,0.235511657460623,0.235511657460623,0.931526219414791,TRUE,0.75,2925,"CSH1|CSH2","Chorionic somatomammotropin hormone","CSH","P0DML2|P0DML3"
"X18328.36",492,0.235219928440208,0.235219928440208,0.903083706675036,TRUE,0.75,2926,"PYCR2","Pyrroline-5-carboxylate reductase 2","P5CR2","Q96C36"
"X20093.9",494,0.235195684826964,0.235195684826964,0.939108456595205,TRUE,0.75,2927,"VCAM1","Vascular cell adhesion protein 1","VCAM-1","P19320"
"X24981.8",491,0.235176539241238,0.235176539241238,0.958415993045614,TRUE,0.75,2928,"DYNC1LI1","Cytoplasmic dynein 1 light intermediate chain 1","DC1L1","Q9Y6G9"
"X25105.87",493,0.235113416284523,0.235113416284523,0.923118267152585,TRUE,0.75,2929,"EIF2A","Eukaryotic translation initiation factor 2A","EIF2A","Q9BY44"
"X6104.1",490,0.234265367268169,0.234265367268169,0.968180895309967,TRUE,0.75,2930,"FGFRL1","Fibroblast growth factor receptor-like 1","FGRL1","Q8N441"
"X10528.2",494,0.233444344694432,0.233444344694432,0.874532295000638,TRUE,0.75,2931,"DPEP1","Dipeptidase 1","DPEP1","P16444"
"X19241.31",493,0.232245438209692,0.232245438209692,1.18714679906809,TRUE,0.75,2932,"RBP5","Retinol-binding protein 5","RBP-III","P82980"
"X2705.5",488,0.232128545159356,0.232128545159356,0.859440853633221,TRUE,0.75,2933,"CCL25","C-C motif chemokine 25","TECK","O15444"
"X11297.54",484,0.231185343347142,0.231185343347142,0.928678280333898,TRUE,0.75,2934,"NOTCH2","Neurogenic locus notch homolog protein 2","NOTC2","Q04721"
"X16312.45",488,0.230801591668528,0.230801591668528,0.940984534688518,TRUE,0.75,2935,"CDH6","Cadherin-6","Cadherin-6","P55285"
"X8991.115",479,0.230529501299918,0.230529501299918,1.09535016330666,TRUE,0.75,2936,"FCRL4","Fc receptor-like protein 4:Cytoplasmic domain","FCRL4:CD","Q96PJ5"
"X10761.5",494,0.2300990222801,0.2300990222801,0.948877574585352,TRUE,0.75,2937,"TMED2","Transmembrane emp24 domain-containing protein 2","TMED2","Q15363"
"X21708.149",489,0.229927227917008,0.229927227917008,1.03326719543888,TRUE,0.75,2938,"FCGRT","IgG receptor FcRn large subunit p51","FCGRN","P55899"
"X12957.62",491,0.229766039970062,0.229766039970062,1.00231538643131,TRUE,0.75,2939,"UQCRB","Cytochrome b-c1 complex subunit 7","UCR6","P14927"
"X13540.1",494,0.228711796098398,0.228711796098398,0.975221488959522,TRUE,0.75,2940,"GPR26","G-protein coupled receptor 26","GPR26","Q8NDV2"
"X21728.4",487,0.227835172316521,0.227835172316521,0.96909390328273,TRUE,0.75,2941,"USP2","Ubiquitin carboxyl-terminal hydrolase 2","UBP2","O75604"
"X5660.51",480,0.227690950289019,0.227690950289019,0.838841251089001,TRUE,0.75,2942,"SOD3","Extracellular superoxide dismutase [Cu-Zn]","SOD3","P08294"
"X17156.72",495,0.227413402123976,0.227413402123976,0.984803333075912,TRUE,0.75,2943,"DCLK1","Serine/threonine-protein kinase DCLK1","DCAK1","O15075"
