"EntrezGeneSymbol","rho_median","rho_mean","n_proteins","best_protein","Category1","Category2"
"CBL",0.225033418773166,0.225033418773166,1,"CBL","Others",NA
"CBLN4",0.253558433248541,0.253558433248541,1,"CBLN4","Others",NA
"CBR1",0.280331324958624,0.280331324958624,1,"CBR1","Others",NA
"CBR4",0.228534122681811,0.228534122681811,1,"CBR4","Others",NA
"CBS",0.170590234550487,0.170590234550487,1,"CBS","Others",NA
"CBX3",-0.245337368062927,-0.245337368062927,1,"CBX3","Others",NA
"CBX5",-0.0991852467108019,-0.0991852467108019,1,"CBX5","Others",NA
"CBX7",-0.110499488107797,-0.110499488107797,1,"CBX7","Others",NA
"CCDC115",-0.132612814716117,-0.132612814716117,1,"CCDC115","Others",NA
"CCDC126",0.131311402199459,0.131311402199459,1,"CCDC126","Others",NA
"CCDC134",0.213548216256749,0.213548216256749,1,"CCDC134.15300.66","Others",NA
"CCDC43",0.172380047677478,0.172380047677478,1,"CCDC43","Others",NA
