"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","124/1904","194/3379",0.639175257731959,1.13433466169973,2.18928104578185,0.0166734364926951,0.163461552538355,0.142344509865936,"RAF1/NEFL/PSMB6/NRAS/CSF1/GRIA4/ATF6/PLCB1/DNAI1/MAP1LC3B/FZD10/RAB39B/PSMA7/PSMB5/ARAF/PSMB1/AXIN2/PRKN/PSMD4/DVL2/APAF1/PSMD9/TANK/PSMA4/CAPN2/MAPK10/SQSTM1/PPP3R1/MAPK9/BRAF/DKK2/FADD/ATXN3/UBE2G1/MAP2K6/RAB5A/MAP1LC3A/CASP8/COX5A/PSMB3/PSMB4/PPP3R2/PSMA5/RAB1A/PSMB2/PARK7/STX1A/PDYN/SEPTIN5/FZD5/FZD7/FZD8/GPR37/UBA7/WNT10B/WNT16/WNT5B/LRP6/FZD2/FZD1/FZD9/DKK4/PSMC3/PSMD6/GSK3B/BDNF/KLC3/VCP/PSMC5/IL6/LRP5/PIK3C3/TNFRSF1A/SOD1/MAPK3/MAP2K1/CYCS/IL1B/FASLG/MAPK1/TNFRSF1B/HTRA2/CAMK2A/CAMK2B/TBK1/BCL2/CAMK2D/CSNK2A1/MAP2K2/MAPK8/PSMA1/UBE2L3/PSMD7/HSD17B10/PSMA2/BCL2L1/RPS27A/PLCG1/IL1A/MAPK11/MAPK13/MAPK14/UCHL1/KRAS/PPIF/FAS/PRKCB/PRKCG/BID/BAD/UBC/UBB/UBE2J1/VAPB/NDUFV2/ATP5PF/DLG4/CTNNB1/SNCA/COX6C/ATP5PO/NDUFB8/NFKB1/NEFH",124
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","34/1904","47/3379",0.723404255319149,1.28381458966565,2.22586301844205,0.0173216278361566,0.163461552538355,0.142344509865936,"RAF1/NRAS/SHC4/PTPN11/CBL/SMAD4/ARAF/TGFB1/AKT2/AKT1/BRAF/SHC1/STAT5B/HDAC2/STAT5A/IKBKG/IKBKB/MAPK3/MAP2K1/MAPK1/AKT3/TGFB3/MAP2K2/TGFB2/BCL2L1/CRK/RB1/KRAS/GRB2/BAD/TP53/PIK3R1/NFKB1/CRKL",34
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","19/1904","24/3379",0.791666666666667,1.40495885854342,2.26171327318958,0.0173368313298255,0.163461552538355,0.142344509865936,"PFKFB3/TIGAR/HK2/HK1/SORD/AKR1B10/AKR1B1/PFKM/GMDS/KHK/PFKFB1/TKFC/PFKFB4/MPI/TPI1/ALDOA/FBP1/FBP2/ALDOC",19
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","54/1904","79/3379",0.683544303797468,1.21307573662376,2.17699714107158,0.0185164245820972,0.169733892002557,0.147806547102705,"RAF1/NRAS/MAP1LC3B/IGBP1/RAB39B/GABARAPL2/CALCOCO2/ATG5/ATG7/GABARAPL1/TAX1BP1/DAPK1/TANK/AKT2/MAPK10/SQSTM1/MAPK9/AKT1/LAMP1/GABARAP/MAP1LC3A/ATG3/MRAS/RAB1A/TSC2/ATG4A/STX17/AKT1S1/HMGB1/PIK3C3/MAPK3/MAP2K1/MAPK1/AKT3/TBK1/BCL2/MAP2K2/PRKCQ/MAPK8/PTEN/IGF1R/DAPK2/BCL2L1/PDPK1/RPS27A/KRAS/CTSD/BAD/UBC/UBB/NBR1/CTSB/STX7/PIK3R1",54
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","50/1904","73/3379",0.684931506849315,1.21553758489697,2.1149509623625,0.0218007391174673,0.191000411995291,0.166325717622693,"RAF1/NRAS/FZD10/RPS6KA1/LAMTOR3/RPS6KA6/DVL2/EIF4B/AKT2/SEC13/AKT1/BRAF/CAB39/FZD5/FZD7/FZD8/CAB39L/TSC2/WNT10B/WNT16/WNT5B/LRP6/FZD2/FZD1/FZD9/SKP2/AKT1S1/ATP6V1C1/GSK3B/LPIN1/IKBKB/ATP6V1F/LRP5/TNFRSF1A/MAPK3/MAP2K1/MAPK1/AKT3/INSR/RPS6KA3/MAP2K2/PTEN/IGF1R/PDPK1/KRAS/GRB2/PRKCB/PRKCG/IGF1/PIK3R1",50
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","40/1904","57/3379",0.701754385964912,1.2453928939997,2.12259374794745,0.0219939868358214,0.191000411995291,0.166325717622693,"RAF1/NRAS/SHC4/CDKN2C/ARAF/AKT2/MAPK10/MAPK9/AKT1/BRAF/SHC1/MMP9/ERBB2/EGFR/MAPK3/MAP2K1/MAPK1/DLL4/AKT3/BCL2/MAP2K2/MAPK8/IGF1R/MAPK11/MAPK13/MAPK14/RB1/JAG1/JAG2/NOTCH1/NOTCH3/KRAS/DLL1/GRB2/SRC/BAD/TP53/IGF1/NOTCH2/PIK3R1",40
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","46/1904","67/3379",0.686567164179104,1.21844036121911,2.05159866505254,0.0256803011853449,0.216252130693791,0.188315252565885,"RAF1/NCF2/SELPLG/PLCB1/SYK/ITGAL/ATG7/ITGB2/H2BC21/AKT2/AKT1/HDAC2/RAC2/PADI4/ITGAM/H2AC1/H2BC12/H2AC11/CTSG/HDAC6/HMGB1/MPO/AZU1/C3/C5/MAPK3/HAT1/MAP2K1/VWF/MAPK1/FCGR3B/FCGR1A/AKT3/MAP2K2/TLR2/PLCG1/MAPK11/MAPK13/MAPK14/PPIF/PRKCB/PRKCG/SRC/PIK3R1/CAMP/NFKB1",46
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","54/1904","80/3379",0.675,1.19791228991597,2.03513809601241,0.0262123794780352,0.216252130693791,0.188315252565885,"RAF1/STAT3/STAT1/NRAS/YWHAB/IRF9/ARAF/PPP2R1A/APAF1/IFNA10/YWHAE/AKT2/IFNA21/IFNA4/AKT1/BRAF/FADD/IRF3/MX1/CASP8/SCARB1/IKBKG/YWHAH/GSK3B/OCLN/CLDN1/IKBKB/TNFRSF1A/EGFR/MAPK3/MAP2K1/CYCS/FASLG/MAPK1/AKT3/TBK1/MAP2K2/YWHAG/RB1/KRAS/TYK2/FAS/GRB2/EGF/BID/YWHAZ/BAD/IFNAR1/TP53/IFNA14/YWHAQ/CTNNB1/PIK3R1/NFKB1",54
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","34/1904","48/3379",0.708333333333333,1.25706845238095,2.03774281177186,0.027639094921822,0.222461007907348,0.193722026024581,"RAF1/NRAS/LAT/SYK/IL13/AKT2/MAPK10/MAPK9/AKT1/MAP2K6/RAC2/BTK/INPP5D/MAPK3/MAP2K1/MAPK1/LYN/AKT3/MAP2K2/IL5/FYN/MAPK8/PDPK1/PLCG1/IL3/MAPK11/MAPK13/MAPK14/KRAS/VAV1/GRB2/PIK3R1/FCER1A/VAV3",34
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","52/1904","77/3379",0.675324675324675,1.19848848630361,2.00151768766084,0.0285009598560932,0.223936113155018,0.195006567436427,"RAF1/SGK3/STAT3/NRAS/FOXO3/SMAD4/GABARAPL2/ARAF/GABARAPL1/HOMER2/IL10/TGFB1/AGAP2/AKT2/MAPK10/MAPK9/AKT1/BRAF/GABARAP/PCK1/HOMER1/HOMER3/FOXO1/SKP2/STK4/IKBKB/IL6/EGFR/MAPK3/MAP2K1/FASLG/MAPK1/AKT3/PLK1/INSR/TGFB3/MAP2K2/MAPK8/PTEN/TGFB2/IGF1R/PDPK1/MAPK11/MAPK13/MAPK14/SOD2/KRAS/GRB2/EGF/DEPP1/IGF1/PIK3R1",52
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","55/1904","82/3379",0.670731707317073,1.19033741545399,1.9821608996531,0.0296318789870533,0.227407443389013,0.19802944831005,"BIRC2/BMPR1B/FZD10/SMAD4/YWHAB/MOB1A/TEAD4/PPP2R1A/ITGB2/TEAD3/AXIN2/DVL2/TGFB1/YWHAE/ID2/BMP4/WWC1/MOB1B/PPP1CC/DLG2/FZD5/FZD7/FZD8/STK3/BMP5/WNT10B/WNT16/WNT5B/YWHAH/NKD2/FZD2/FZD1/FZD9/GSK3B/CTNNA1/LIMD1/CTNNA3/YAP1/PRKCZ/BMP7/PRKCI/BIRC5/TGFB3/BMP6/TGFB2/YWHAG/BMPR1A/BMPR2/AFP/YWHAZ/YWHAQ/DLG4/CTNNB1/ID1/CTNNA2",55
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","50/1904","74/3379",0.675675675675676,1.19911140131728,1.967403960497,0.0309981357141322,0.232486017855992,0.202451938994213,"DLD/ENO2/GCSH/ENO1/PKLR/ADH5/HIBCH/RPE/MDH2/SHMT2/HK2/HK1/FH/PGAM2/ENO3/PFKM/ACADS/SDSL/PGLS/GOT2/PGP/IDH1/PSAT1/ALDH6A1/G6PD/ACO1/DLAT/ACOX1/PDHB/RGN/TKFC/ME1/ACSS2/PDHA2/GPT/MDH1/PGAM1/GPI/TKT/TPI1/ESD/PGK1/ALDOA/ADPGK/H6PD/FBP1/PHGDH/MCEE/FBP2/ALDOC",50
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","11/1904","13/3379",0.846153846153846,1.50165643180349,2.05867736533313,0.0331640412769354,0.243202969364193,0.211784403943938,"ARRB1/CNGA2/PRKG1/NCALD/PDE1B/GRK2/CAMK2A/CAMK2B/CAMK2D/PDE2A/PDE1A",11
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","71/1904","109/3379",0.651376146788991,1.15598739495798,1.88059883352444,0.0363813983136693,0.26099698790241,0.227279673675783,"RAF1/STAT1/SYK/CARD9/JAK2/RFXAP/ITGB2/HSPA9/APAF1/IL10/TGFB1/IFNA10/RAB5C/AKT2/IFNA21/IFNA4/MAPK10/PPP3R1/MAPK9/AKT1/FADD/LAMP1/CD14/RAB5A/CASP8/PPP3R2/RAB5B/LSP1/ITGAM/CD209/FCGR2B/RFX5/IL6/PIK3C3/MRC1/TNFRSF1A/HSPD1/C3/MAPK3/CYCS/IL1B/MRC2/MAPK1/FCGR3B/FCGR1A/CAMK2A/CAMK2B/AKT3/BCL2/CAMK2D/TGFB3/MAPK8/TLR2/TGFB2/IL1A/MAPK11/MAPK13/MAPK14/CASP10/SRC/CTSD/BID/IFNGR1/BAD/IFNA14/CD74/BCL10/RIPK2/IFNGR2/CAMP/NFKB1",71
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","36/1904","52/3379",0.692307692307692,1.2286279896574,1.88743477939989,0.0387714402703831,0.268519474933522,0.233830356162206,"PSMB6/PLCB1/PSMA7/PSMB5/PSMB1/PSMD4/PSMD9/PSMA4/AKT2/MAPK10/MAPK9/AKT1/ATXN3/PSMB3/PSMB4/PSMA5/VLDLR/PSMB2/PDYN/RELN/PSMC3/PSMD6/PSMC5/ATXN10/PIK3C3/TBP/CYCS/AKT3/MAPK8/PSMA1/PSMD7/PSMA2/PPIF/PRKCB/PRKCG/PIK3R1",36
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","144/1904","232/3379",0.620689655172414,1.10152854245146,1.82033389974572,0.039335519570213,0.268519474933522,0.233830356162206,"RAF1/SGK3/PDGFRA/MCL1/NRAS/CSF1/EFNA2/OSMR/PRL/COL1A1/COL6A1/COL6A3/ITGB7/TNR/CREB3L4/SYK/ATF6B/FOXO3/MET/JAK2/YWHAB/PPP2R1A/MTCP1/VEGFD/SPP1/PPP2R5A/PDGFC/ANGPT2/FGFR3/CSF1R/FGF19/FGF16/IL3RA/IBSP/EFNA4/MAGI2/FLT3LG/IFNA10/EFNA3/YWHAE/EIF4B/AKT2/IFNA21/IFNA4/COL2A1/IL6R/AKT1/FLT4/FLT1/PCK1/TCL1B/CCNE1/FN1/LAMA3/EFNA1/COL9A3/TSC2/RELN/IKBKG/ITGA6/NOS3/YWHAH/PPP2R5D/THEM4/GSK3B/BDNF/FGF8/KIT/IKBKB/ANGPT4/GNG12/IL6/PKN2/VEGFA/EFNA5/ERBB2/ERBB3/ERBB4/HSP90AA1/IL2RG/EGFR/HGF/TNC/ANGPT1/MAPK3/MAP2K1/ARTN/GHR/FGF2/VWF/FASLG/FGF5/MAPK1/RET/THBS2/THBS4/AKT3/BCL2/FLT3/INSR/THBS1/NTRK1/MAP2K2/KDR/FGFR2/PTEN/TLR2/IL7/NTF4/YWHAG/IGF1R/BCL2L1/PDPK1/PDGFA/IL3/EPHA2/NTRK2/FGFR4/KRAS/GRB2/HSP90AB1/EGF/FGFR1/NGF/GDNF/YWHAZ/BAD/IFNAR1/TP53/HSP90B1/IFNA14/YWHAQ/ITGB6/VTN/IGF1/GH1/PIK3R1/CSF3/THBS3/IL2RB/KITLG/VEGFB/LAMC2/NFKB1",144
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","90/1904","141/3379",0.638297872340426,1.13277757911675,1.82962954493174,0.0398710735507352,0.268519474933522,0.233830356162206,"RAF1/PSMB6/NRAS/LRP1/CSF1/ATF6/PLCB1/FZD10/PSMA7/PSMB5/ARAF/PSMB1/AXIN2/PSMD4/DVL2/APAF1/PSMD9/PSMA4/CAPN2/AKT2/MAPK10/PPP3R1/MAPK9/AKT1/BRAF/DKK2/FADD/CASP8/COX5A/PSMB3/PSMB4/PPP3R2/PSMA5/PSMB2/FZD5/FZD7/FZD8/WNT10B/WNT16/WNT5B/IKBKG/LPL/LRP6/FZD2/FZD1/FZD9/DKK4/PSMC3/PSMD6/GSK3B/APOE/KLC3/IKBKB/PSMC5/IL6/LRP5/PIK3C3/TNFRSF1A/MAPK3/MAP2K1/CYCS/IL1B/MAPK1/IDE/AKT3/CSNK2A1/INSR/MAP2K2/MAPK8/PSMA1/PSMD7/HSD17B10/PSMA2/IL1A/KRAS/PPIF/FAS/BID/BAD/NDUFV2/ATP5PF/ADAM10/CTNNB1/SNCA/PIK3R1/COX6C/ADAM17/ATP5PO/NDUFB8/NFKB1",90
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","20/1904","27/3379",0.740740740740741,1.3145813881108,1.8643617579356,0.0450226009035806,0.279669818087502,0.24354022436328,"GALNT13/B4GALT1/GALNT4/ST6GAL2/GALNT14/GALNT9/MFNG/POFUT1/B3GLCT/C1GALT1C1/GALNT2/ST6GAL1/XXYLT1/GALNT10/GALNT1/RFNG/COLGALT2/GXYLT1/GALNT16/B4GALT2",20
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","20/1904","27/3379",0.740740740740741,1.3145813881108,1.8643617579356,0.0450226009035806,0.279669818087502,0.24354022436328,"NRAS/HSPA1A/FOXO3/ATG5/AKT2/AKT1/HDAC2/HSPA1B/EIF4EBP2/FOXO1/AKT1S1/SOD1/AKT3/INSR/IGF1R/SOD2/KRAS/HSPA8/IGF1/PIK3R1",20
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","37/1904","54/3379",0.685185185185185,1.21598778400249,1.81759671146239,0.0450240741731331,0.279669818087502,0.24354022436328,"RAF1/STAT1/NRAS/PLCB1/ATP1B1/MED4/AKT2/AKT1/BMP4/PFKM/HDAC2/KAT2A/RCAN2/TSC2/FOXO1/GSK3B/PLCD1/PLCD3/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/PDPK1/PLCG1/NOTCH1/NOTCH3/KRAS/PRKCB/PRKCG/SRC/BAD/TP53/ATP1B2/NOTCH2/CTNNB1/PIK3R1",37
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","59/1904","90/3379",0.655555555555556,1.16340452847806,1.78492795159862,0.0456744080617293,0.279669818087502,0.24354022436328,"PLCB1/FZD10/SMAD4/RUVBL1/CACYBP/AXIN2/RSPO3/DVL2/FRZB/SFRP1/RNF43/MAPK10/PPP3R1/MAPK9/DKK2/WIF1/RSPO1/SFRP4/CUL1/PPP3R2/GPC4/RAC2/FZD5/BAMBI/FZD7/FZD8/CTNNBIP1/WNT10B/WNT16/WNT5B/NKD2/LRP6/FZD2/FZD1/FZD9/DKK4/SFRP5/GSK3B/ROR1/LRP5/MMP7/CAMK2A/CAMK2B/CAMK2D/CSNK2A1/MAPK8/SKP1/PRKCB/PRKCG/RYK/TP53/CER1/APCDD1/ROR2/NOTUM/RSPO2/CTNNB1/RSPO4/SERPINF1",59
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","32/1904","46/3379",0.695652173913043,1.23456339057362,1.81965382274225,0.0457641520506822,0.279669818087502,0.24354022436328,"RAF1/STAT3/STAT1/NRAS/PRL/FOXO3/SHC4/JAK2/TNFSF11/AKT2/MAPK10/MAPK9/AKT1/SHC1/STAT5B/STAT5A/GSK3B/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/MAPK8/MAPK11/MAPK13/MAPK14/KRAS/TNFRSF11A/GRB2/SRC/PIK3R1/NFKB1",32
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","18/1904","24/3379",0.75,1.33101365546218,1.84872601838776,0.0476060111070471,0.285636066642283,0.248735713535385,"DNM2/AP2A2/CLTC/NSF/CPLX2/VAMP2/CPLX1/STX1A/SYT1/CPLX3/ATP6V1C1/DNM1/AP2B1/ATP6V1F/NAPA/STX1B/STX3/STX2",18
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","43/1904","64/3379",0.671875,1.19236639968487,1.76500004967269,0.0494004520574085,0.287077105806157,0.249990589745075,"RAF1/STAT3/STAT1/NRAS/MRAP2/CREB3L4/PLCB1/ATF6B/SHC4/JAK2/AKT2/MAPK10/MAPK9/AKT1/SHC1/GHRH/STAT5B/MAP2K6/STAT5A/GSK3B/MAPK3/MAP2K1/GHR/MAPK1/AKT3/MAP2K2/MAPK8/PLCG1/CRK/MAPK11/MAPK13/MAPK14/KRAS/GRB2/PRKCB/PRKCG/SST/GHRL/IGFALS/IGF1/GH1/PIK3R1/CRKL",43
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","57/1904","87/3379",0.655172413793103,1.16272457258766,1.7468279693776,0.04969645968094,0.287077105806157,0.249990589745075,"RAF1/NRAS/FZD10/SHC4/ARAF/AXIN2/DVL2/FGF19/FGF16/TNFSF11/AKT2/AKT1/BRAF/PGR/FLT4/SHC1/FZD5/FZD7/FZD8/WNT10B/WNT16/WNT5B/LRP6/FZD2/FZD1/FZD9/GSK3B/FGF8/KIT/LRP5/ERBB2/EGFR/MAPK3/MAP2K1/FGF2/FGF5/MAPK1/DLL4/AKT3/MAP2K2/PTEN/IGF1R/RB1/JAG1/JAG2/NOTCH1/NOTCH3/KRAS/DLL1/GRB2/EGF/FGFR1/TP53/IGF1/NOTCH2/CTNNB1/PIK3R1",57
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","84/1904","132/3379",0.636363636363636,1.1293449197861,1.72211631666659,0.0504559761719913,0.287077105806157,0.249990589745075,"RAF1/ELK1/STAT3/NRAS/COL1A1/FLNA/FZD10/MET/PTPN11/CBL/NUDT16L1/ARAF/FRS2/ARHGEF1/TGFB1/EIF4B/AKT2/HSPG2/AKT1/BRAF/MRAS/RDX/PPP1CC/IHH/FN1/FZD5/FZD7/FZD8/WNT10B/WNT16/WNT5B/FZD2/FZD1/FZD9/GAB1/TIMP3/MMP9/VEGFA/ERBB2/ERBB3/ERBB4/PLAUR/EGFR/HGF/MAPK3/MAP2K1/FGF2/FASLG/MAPK1/CAMK2A/CAMK2B/AKT3/CAMK2D/THBS1/MAP2K2/KDR/TLR2/TGFB2/IGF1R/PTPN6/PDPK1/PLCG1/MAPK11/MAPK13/MAPK14/KRAS/VAV1/FAS/GRB2/PRKCB/PRKCG/SRC/FGFR1/TP53/ANK2/VTN/IGF1/CTNNB1/CAV3/GPC1/PIK3R1/CD63/EZR/VAV3",84
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","23/1904","32/3379",0.71875,1.27555475315126,1.77918998060219,0.0526732863412917,0.294613296485191,0.256553205551698,"CBS/ADI1/MDH2/AHCYL1/KYAT3/BHMT2/LDHA/GSS/SDSL/SMS/GCLM/GOT2/PSAT1/MAT2B/CTH/SRM/TAT/MDH1/LDHB/CISD1/PHGDH/LDHC/MTAP",23
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","70/1904","109/3379",0.642201834862385,1.13970588235294,1.68430737278619,0.0554430022199823,0.299937552993347,0.261189639448752,"RAF1/ELK1/STAT3/STAT1/STAT6/NRAS/CREB3L4/ATF6B/PTK2B/JAK2/SMAD4/YWHAB/ARAF/APAF1/TGFB1/IFNA10/AKT2/IFNA21/IFNA4/MAPK10/MAPK9/HSPG2/AKT1/BRAF/STAT5B/FADD/IRF3/MAP2K6/CASP8/CCNE1/STAT5A/IKBKG/IKBKB/IL6/MMP9/MAPK3/MAP2K1/CYCS/FASLG/MAPK1/AKT3/TBK1/BCL2/BIRC5/TGFB3/MAP2K2/MAPK8/TLR2/TGFB2/MAPK11/MAPK13/MAPK14/RB1/KRAS/TYK2/CASP10/FAS/GRB2/PRKCB/PRKCG/SRC/BID/YWHAZ/BAD/IFNAR1/TP53/IFNA14/YWHAQ/PIK3R1/NFKB1",70
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","70/1904","109/3379",0.642201834862385,1.13970588235294,1.68430737278619,0.0554430022199823,0.299937552993347,0.261189639448752,"RAF1/STAT3/STAT1/NRAS/SYK/MAP1LC3B/JAK2/IRF9/ANGPT2/IFNA10/AKT2/IFNA21/IFNA4/MAPK10/PPP3R1/MAPK9/AKT1/FADD/IRF3/MAP2K6/MAP1LC3A/ATG3/CASP8/PPP3R2/IKBKG/GSK3B/IKBKB/GNG12/IL6/PIK3C3/VEGFA/IL6ST/TNFRSF1A/C3/MAPK3/MAP2K1/CYCS/CXCL3/FGF2/MAPK1/CXCL2/LYN/AKT3/TBK1/MAP2K2/MAPKAPK2/MAPK8/ICAM1/RPS27A/PLCG1/MAPK11/MAPK13/MAPK14/RB1/MICB/KRAS/TYK2/CD86/FAS/SRC/BID/IFNGR1/IFNAR1/TP53/UBC/UBB/IFNA14/CTNNB1/PIK3R1/NFKB1",70
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","56/1904","86/3379",0.651162790697674,1.15560875512996,1.66056038544241,0.059479661202182,0.316585293495485,0.275686714909944,"BIRC2/STAT3/STAT1/STAT6/SMPD1/VPS4A/JAK2/IRF9/CHMP3/TNFAIP3/IFNA10/CAPN2/FTL/IFNA21/IFNA4/MAPK10/SQSTM1/MAPK9/STAT5B/FADD/CHMP2A/CASP8/CHMP1B/GLUL/STAT5A/CHMP4A/CYLD/H2AC1/H2AC11/ZBP1/SHARPIN/PYCARD/HMGB1/FTH1/HSP90AA1/TNFRSF1A/IL1B/FASLG/CAMK2A/CAMK2B/BCL2/CAMK2D/MAPK8/PPIA/TNFRSF10A/IL1A/TYK2/FAS/HSP90AB1/BID/IFNGR1/IFNAR1/IFNA14/TNFRSF10B/IFNGR2/AIFM1",56
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","40/1904","60/3379",0.666666666666667,1.18312324929972,1.62585858756947,0.066265045456432,0.347102619057501,0.3022616108539,"RAF1/NRAS/HSPA1A/GABBR1/CREB3L4/PLCB1/ATF6B/SHC4/GABBR2/AKT2/AKT1/PGR/SHC1/FKBP4/HSPA1B/KRT16/EBAG9/FKBP5/NOS3/KRT34/MMP9/HSP90AA1/EGFR/MAPK3/MAP2K1/MAPK1/AKT3/BCL2/MAP2K2/KRAS/KRT18/GRB2/HSP90AB1/SRC/CTSD/HSPA8/HSP90B1/PIK3R1/TFF1/POMC",40
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","49/1904","75/3379",0.653333333333333,1.15946078431373,1.58646973941967,0.0699008260655508,0.354852481573411,0.309010294958664,"RAF1/NRAS/LAT/PTPN11/PPP2R1A/NCK2/PPP2R5A/PAK4/IL10/AKT2/MAPK10/CD8A/PPP3R1/MAPK9/AKT1/PPP3R2/CD3E/IKBKG/PPP2R5D/GSK3B/IKBKB/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/TEC/IL5/FYN/PRKCQ/MAPK8/PAK6/ZAP70/PTPN6/PDPK1/LCK/PLCG1/MAPK11/MAPK13/MAPK14/KRAS/GRAP2/VAV1/GRB2/BCL10/PIK3R1/CD8B/VAV3/NFKB1",49
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","58/1904","90/3379",0.644444444444444,1.1436858076564,1.56953308897044,0.0709704963146822,0.354852481573411,0.309010294958664,"BIRC2/EIF2B1/STAT1/TNFRSF14/SYK/CARD9/SRSF6/JAK2/PTPN11/IRF9/APAF1/IFNA10/AKT2/IFNA21/IFNA4/AKT1/FADD/IRF3/CASP8/PPP1CC/NECTIN1/TSC2/IKBKG/SRPK1/IKBKB/CCL5/PML/IL6/TNFRSF1A/C3/C5/CYCS/IL1B/FASLG/AKT3/TBK1/BCL2/B2M/TLR2/BCL2L1/PDIA3/TYK2/CALR/TNFSF14/FAS/SRC/BID/IFNGR1/BAD/IFNAR1/TP53/NECTIN2/TAPBPL/IFNA14/CD74/PIK3R1/IFNGR2/NFKB1",58
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","58/1904","90/3379",0.644444444444444,1.1436858076564,1.56953308897044,0.0709704963146822,0.354852481573411,0.309010294958664,"RAF1/ELK1/NRAS/GSTT2B/FZD10/SHC4/MET/SMAD4/PBRM1/ARAF/AXIN2/DVL2/GSTP1/TXNRD1/TGFB1/AKT2/AKT1/BRAF/SHC1/HMOX1/FZD5/FZD7/FZD8/WNT10B/WNT16/WNT5B/LRP6/FZD2/FZD1/FZD9/GSTA2/GSK3B/GAB1/LRP5/EGFR/HGF/MAPK3/MAP2K1/MAPK1/AKT3/TGFB3/MAP2K2/PTEN/TGFB2/IGF1R/BCL2L1/PLCG1/RB1/KRAS/GRB2/PRKCB/PRKCG/BAD/TP53/CTNNB1/KEAP1/PIK3R1/ARID1A",58
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","30/1904","44/3379",0.681818181818182,1.21001241405653,1.59290791670309,0.0735037130749663,0.356709195804984,0.310627146586158,"RAF1/NRAS/MET/PTPN11/ARAF/FH/PAK4/TGFB1/AKT2/AKT1/BRAF/GAB1/RAPGEF1/VEGFA/HGF/MAPK3/MAP2K1/MAPK1/AKT3/TGFB3/MAP2K2/PAK6/TGFB2/CRK/KRAS/GRB2/BAD/PIK3R1/CRKL/EGLN1",30
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","30/1904","44/3379",0.681818181818182,1.21001241405653,1.59290791670309,0.0735037130749663,0.356709195804984,0.310627146586158,"RAF1/PDGFRA/NRAS/GPCPD1/DGKB/PDGFC/AKT2/MAPK10/MAPK9/AKT1/RAC2/TSC2/WAS/EGFR/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/MAPK8/PDPK1/PDGFA/PLCG1/KRAS/GRB2/PRKCB/PRKCG/EGF/CHKB/PIK3R1",30
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","20/1904","28/3379",0.714285714285714,1.26763205282113,1.61546372897722,0.0752878249863092,0.357864041097008,0.311632801338064,"CACNB4/ITGB7/DES/DSC2/JUP/SNTA1/DSG2/ITGA6/DAG1/CACNB3/CTNNA1/DTNA/CTNNA3/CDH2/ITGB6/CTNNB1/CAV3/CACNA2D3/SNTB1/CTNNA2",20
