"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X7821.6",490,-0.0231102599260077,-0.0232156804105818,0.608190868974012,8.97345998318489e-07,0.668924012743437,FALSE,FALSE,"Not significant","Negative",-0.00010542048457407,"C1D","Nuclear nucleic acid-binding protein C1D","C1D","Q13901"
"X8635.283",489,0.0219186263491419,0.0231919401400196,0.608925622358209,0.00127903130052345,0.669626999155299,FALSE,FALSE,"Not significant","Positive",0.00127331379087765,"ZPBP","Zona pellucida-binding protein 1","ZPBP1","Q9BS86"
"X22371.46",485,0.0213809434176118,0.0232800782815155,0.609045146450157,0.00166123627478824,0.669653312020617,FALSE,FALSE,"Not significant","Positive",0.00189913486390374,"FAM110A","Protein FAM110A","F110A","Q9BQ89"
"X11402.17",487,-0.0268108290568336,-0.0232142316330219,0.609318962031659,0.00314289561453786,0.669662730072618,FALSE,FALSE,"Not significant","Negative",0.00359659742381171,"KMT2C","Histone-lysine N-methyltransferase 2C","KMT2C","Q8NEZ4"
"X14045.12",490,0.027273290146636,0.0231513203802566,0.609185831750193,0.000536492337871872,0.669662730072618,FALSE,FALSE,"Not significant","Positive",-0.00412196976637938,"NCOA2","Nuclear receptor coactivator 2","NCOA2","Q15596"
"X23278.13",494,0.0261804457212708,0.0230469861087989,0.609340505565006,0.000283679862029657,0.669662730072618,FALSE,FALSE,"Not significant","Positive",-0.00313345961247198,"MRPL12","39S ribosomal protein L12, mitochondrial","39S ribosomal protein L12","P52815"
"X12575.30",484,-0.0244937576107825,-0.0231925700374497,0.610762261528666,0.000396721858427356,0.67111994384444,FALSE,FALSE,"Not significant","Negative",0.00130118757333278,"MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic","C1TC","P11586"
"X3049.61",488,0.0431653136673618,0.0230807388562445,0.611011326030773,0.0330922471245281,0.67128832165081,FALSE,FALSE,"Not significant","Positive",-0.0200845748111173,"PRSS1","Trypsin-1","Trypsin","P07477"
"X25095.1",485,0.0196272501526575,0.0231313446871085,0.611335154126725,0.00157925975975298,0.671538772880305,FALSE,FALSE,"Not significant","Positive",0.00350409453445097,"SNCAIP","Synphilin-1","SNCAP","Q9Y6H5"
"X6580.29",494,-0.0184161297265597,-0.0228975750060409,0.611662807544441,0.000956614296022648,0.671793346950268,FALSE,FALSE,"Not significant","Negative",-0.00448144527948122,"PZP","Pregnancy zone protein","Pregnancy zone protein","P20742"
"X22531.44",495,-0.0255963519014203,-0.0228520347790297,0.612009921704618,0.000170126920303988,0.672069211716704,FALSE,FALSE,"Not significant","Negative",0.0027443171223906,"PITX2","Pituitary homeobox 2","PITX2","Q99697"
"X15567.2",492,-0.0263281207876466,-0.0229010142971006,0.612334839713447,0.00137901783734909,0.67232061946594,FALSE,FALSE,"Not significant","Negative",0.00342710649054606,"CD247","T-cell surface glycoprotein CD3 zeta chain","CD3-zeta","P20963"
"X9627.15",493,0.0287548204719147,0.0228261324585472,0.613136272779951,0.00248169485937412,0.673095062031587,FALSE,FALSE,"Not significant","Positive",-0.00592868801336741,"VIT","Vitrin","VITRN","Q6UXI7"
"X9855.10",494,-0.0210570079838795,-0.0227902697636871,0.613333063000527,0.000144302603846691,0.673205594847805,FALSE,FALSE,"Not significant","Negative",-0.00173326177980755,"RHOA","Transforming protein RhoA","Rho A","P61586"
"X9594.30",488,-0.0177730966876388,-0.0229144436621219,0.613583579376179,0.00145492100985461,0.673375054602872,FALSE,FALSE,"Not significant","Negative",-0.00514134697448303,"SLC30A5","Zinc transporter 5","ZNT5","Q8TAD4"
"X12650.43",454,0.0282068760295803,0.0237142966144921,0.614286000090519,0.0168529781778242,0.674040324347444,FALSE,FALSE,"Not significant","Positive",-0.00449257941508823,"GNAI3","Guanine nucleotide-binding protein G(k) subunit alpha","GNAI3","P08754"
"X13573.5",490,0.0455482181600591,0.0228132941797553,0.614423294889981,0.0380503716001369,0.674085384605218,FALSE,FALSE,"Not significant","Positive",-0.0227349239803038,"ARPC3","Actin-related protein 2/3 complex subunit 3","p21-ARC","O15145"
"X3218.8",488,-0.0236022766400934,-0.0228304937432506,0.614883922541721,2.29651384203993e-05,0.67448510451061,FALSE,FALSE,"Not significant","Negative",0.000771782896842765,"FOLH1","Glutamate carboxypeptidase 2","PSMA","Q04609"
"X11988.24",490,0.0227195403883134,0.0227461801659505,0.615465524381423,0.000505133127705948,0.675017378783759,FALSE,FALSE,"Not significant","Positive",2.66397776370608e-05,"PTPRH","Receptor-type tyrosine-protein phosphatase H","PTPRH","Q9HD43"
"X8089.173",492,-0.0176484612661179,-0.022689066400983,0.615630698985236,0.0087475341183932,0.675092837569126,FALSE,FALSE,"Not significant","Negative",-0.00504060513486517,"NR4A1","Nuclear receptor subfamily 4 group A member 1","NR4A1","P22736"
"X19379.154",495,-0.00651088528041929,-0.0224989215651355,0.617520803675511,0.0367417775419111,0.677059513186251,FALSE,FALSE,"Not significant","Negative",-0.0159880362847162,"RAB3D","Ras-related protein Rab-3D","RAB3D","O95716"
"X11672.17",491,0.0219580602918937,0.0225593288085319,0.618011391322602,0.000334959201992246,0.677491360909989,FALSE,FALSE,"Not significant","Positive",0.000601268516638165,"KIF16B","Kinesin-like protein KIF16B","KI16B","Q96L93"
"X3879.50",490,0.0217451182769909,0.0225586056158221,0.618382513020172,1.47618200415816e-05,0.677792130137116,FALSE,FALSE,"Not significant","Positive",0.000813487338831197,"CDC37","Hsp90 co-chaperone Cdc37","CDC37","Q16543"
"X5443.62",490,-0.02109145321374,-0.0225414171012324,0.61865011421571,5.68190113505531e-05,0.67797935702144,FALSE,FALSE,"Not significant","Negative",-0.00144996388749238,"NPPA","Atrial natriuretic factor","ANP","P01160"
"X22553.4",489,-0.0294177475726787,-0.0225194333476035,0.61935228899766,0.00353043067895682,0.678642700520664,FALSE,FALSE,"Not significant","Negative",0.00689831422507519,"RPL38","60S ribosomal protein L38","RL38","P63173"
